id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		-3	-4	0	0	0	-4	-4	Causing harm to one to help four, score=-3	Redirecting overdose, not equal distribution, score=-4	Duty to all patients, no betrayal, score=0	Technical failure, not subverting authority, score=0	No desecration of human life, score=0	Forced decision, taking a life, score=-4	Forced to choose between harming one or four, extremely immoral	-1.16
76	Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	orig		0	2	2	2	3	3	2	No harm is caused, rather ignorance is shown	No cheating or unfairness involved	No betrayal or loyalty issues	No subversion of authority, just lack of knowledge	No degradation or sanctity violations	No oppression, person is free to learn and grow	The scenario is relatively morally acceptable	0.06
77	Kruepke	Recently I was supposed to go to a meeting with a whole bunch of people who are not my friends, just acquaintances. I really didn't want to go. So I emailed the group saying that I had to work that day, when in reality I didn't.	orig		1	2	0	2	0	0	1	No direct harm caused, but could be seen as letting others down	Lied about work commitment, not fully transparent	No specific loyalty to this group, so no betrayal	Did not follow the meeting organizer's expectations	No sanctity or moral purity involved	No impact on personal or others' freedom	While not highly immoral, the scenario involves some dishonesty	-0.71
78	Lotto	You are in the head office of your bank together with four other people. Suddenly, the director calls you because he has discovered a bomb in an office on the ground floor. He knows you are a bomb disposal expert and asks you to defuse it. You realise immediately that there is not enough time to evacuate the people in the bank before the bomb explodes.You throw the bomb into the basement where there is the security vault. You know that the explosion will kill the security guard in the vault, but you and the other four people will be saved.	orig		-5	0	-4	-3	0	-4	-3	Causing harm to the security guard	No explicit cheating or unfairness	Betraying the trust of the security guard	Subverting the director's instructions	No explicit degradation or sanctity violation	Restricting the freedom and autonomy of the security guard	The scenario involves causing harm and betrayal to save others, leading to a negative moral acceptability score	-0.85
79	Lotto	You are driving your new and very expensive car along a narrow country road. On the edge of the road you see a person who has just fallen off their bicycle. This person has hit their head violently and asks you if you can accompany them to the nearest hospital. You realise that because of the fall the person is now covered with mud.You leave the injured person on the side of the road. You know that sooner or later somebody will pass by and, in this way, you will not dirty the leather seats in your new car.	orig		-5	0	0	-4	-5	-3	-4	Driver fails to help an injured person	No direct relation to cheating or fairness	No direct relation to betrayal or loyalty	Driver does not follow the moral authority of helping others	Driver prioritizes car cleanliness over human life	Driver restricts the injured person's liberty by leaving them behind	Leaving an injured person on the side of the road is highly immoral	-1.72
80	Clifford	You see a boy placing a thumbtack sticking up on the chair of another student.	orig		-3	0	0	0	0	-2	-2	Causing harm through a practical joke	Not directly related to cheating	No loyalty issues involved	Not directly related to subversion	No sanctity issues involved	Limiting another student's freedom	Placing a thumbtack on a chair is not highly moral due to causing harm and limiting liberty	-2.8
81	Clifford	You see a man telling his girlfriend that she must convert to his religion.	orig		0	0	-3	-3	-2	-4	-4	No direct harm intended	Not directly related to cheating	Potential infringement on religious freedom	Attempt to exert religious authority	Pressure to change religious beliefs	Restricting religious freedom and choice	Pressuring someone to convert to one's religion restricts their religious freedom and liberty, making it highly immoral.	-2.5
82	Effron	Ate all the food before anyone else could have any	orig		-4	-5	0	0	0	-3	-3	Caused direct harm to others	Violated fairness norm	No direct loyalty violation in scenario	No direct authority violation in scenario	No direct sanctity violation in scenario	Limited others' freedom to access food	The scenario is immoral due to harm and unfairness	-2.05333328
83	Clifford	You see a man staying inside his home with the shades drawn on a rare sunny day.	orig		0	0	0	0	0	0	2	Doesn't affect others	Not relevant	Not applicable	Doesn't involve authority	No sanctity violation	Doesn't limit personal freedom	Staying inside on a sunny day is a personal choice	-0.1
84	Grizzard	Accidentally wounds a young soldier when firing a warning shot.	orig		1	0	0	0	0	-1	2	Caused unintentional harm, but in attempt to protect	No relation to cheating or fairness	No relation to betrayal or loyalty	No direct relation to subversion or authority	No relation to degradation or sanctity	Minor infringement on soldier's liberty	While the action unintentionally harmed a soldier, it was in an effort to protect, making it relatively morally acceptable.	-0.4933333333
85	Effron	Left food out for stray dogs	orig		4	0	0	0	0	3	3	Minimizes harm by providing food	Does not directly relate to cheating	Does not involve betrayal or loyalty	Does not subvert any authority	Does not degrade any sanctity	Provides liberty to stray dogs	Leaving food out for stray dogs is generally moral	2.24864864
86	Mickelberg	Person X scratched their neighbor's expensive car with a key, as he always parked it at the front of PersonX's house.	orig		-4	-2	0	0	0	-2	-3	Person X caused damage, harming their neighbor	No explicit cheating, but parking issue affects fairness	No direct loyalty issue, no explicit betrayal	No challenge to authority or subversion involved	No desecration or sanctity violation, just property damage	Person X's freedom is affected by neighbor's parking	The scenario is moderately immoral due to property damage and some fairness issues	-2.41
87	Lotto	The healthy carrier of a contagious and lethal disease is being held in quarantine in hospital. Suddenly the ventilation system breaks down and there is no longer a change of air in the room. The emergency system will shortly be activated and an internal window will be opened. This window opens into a ward in which five patients are being treated for various illnesses.You block the emergency system by pressing a button which will keep the window closed. You know that the healthy carrier will suffocate, but the five patients will be saved from mortal contagion.	orig		-5	0	0	-3	0	-4	-4	Causing harm to the healthy carrier	No cheating or unfairness involved	No betrayal or loyalty issues	Subverting the emergency system	No degradation or sanctity issues	Restricting the liberty of the healthy carrier	This scenario is highly immoral due to causing harm and restricting the liberty of the healthy carrier	-0.36
88	Clifford	You see a father requiring his son to become a commercial airline pilot like him.	orig		0	1	-2	-3	0	-2	-2	No direct harm intended	No cheating involved	Potential loyalty conflict for son	Pressure to follow father's authority	No desecration of values or ideals	Potential infringement on son's freedom	The father's requirement may limit the son's freedom and autonomy, making it somewhat morally questionable.	-1.9
